Username,Followers,Following,Profile,Post NO,Likes,Comments,Total Posts on Profile,Engagement,views
mahirahkhan,11.6M followers,515 following,https://www.instagram.com/mahirahkhan,1,38300,373,1413 posts,38673,1500000
Total Posts on Profile,Scraped Posts,,,2,56300,2062,,58362,2200000
1413 posts,0,,,3,74800,405,,75205,471000
,,,,4,15900,215,,16115,1500000
,,,,5,252000,2128,,254128,909000
,,,,6,444000,1893,,445893,378000
,,,,7,167000,673,,167673,406000
,,,,8,774000,6259,,780259,500000
,,,,9,387000,1329,,388329,429000
,,,,10,365000,1846,,366846,595000
,,,,11,50700,531,,51231,416000
,,,,12,153000,1039,,154039,199000
,,,,13,259000,750,,259750,505000
,,,,14,281000,1061,,282061,730000
,,,,15,218000,902,,218902,9700000
,,,,16,212000,1317,,213317,437000
,,,,17,27300,229,,27529,579000
,,,,18,40000,429,,40429,832000
,,,,19,207000,880,,207880,10000000
,,,,20,58300,218,,58518,637000
,,,,21,407000,1866,,408866,270000
,,,,22,70200,818,,71018,3400000
,,,,23,45100,346,,45446,340000
,,,,24,235000,1295,,236295,403000
,,,,25,215000,1526,,216526,10000000
